gene_ID,pathway_count
hsa:5594,117
hsa:5595,117
hsa:5290,106
hsa:5291,106
hsa:5293,106
hsa:5296,103
hsa:8503,103
hsa:5295,103
hsa:10000,100
hsa:207,100
hsa:208,100
hsa:5604,89
hsa:3265,84
hsa:3845,83
hsa:5894,83
hsa:4893,80
hsa:5605,77
hsa:4790,76
hsa:5970,76
hsa:5599,73
hsa:5601,73
hsa:5578,73
hsa:5602,73
hsa:5579,71
hsa:5568,70
hsa:5566,70
hsa:5567,70
hsa:7124,67
hsa:1432,62
hsa:5603,62
hsa:6300,62
hsa:5582,62
hsa:5600,62
hsa:5332,61
hsa:5331,61
hsa:23236,61
hsa:5330,61
hsa:3551,59
hsa:3725,56
hsa:111,55
hsa:1147,53
hsa:8517,53
hsa:112,52
hsa:107,52
hsa:5879,52
hsa:115,52
hsa:109,52
hsa:2778,51
hsa:114,51
hsa:2475,51
hsa:7157,51
hsa:3569,51
hsa:108,50
hsa:2885,50
hsa:581,50
hsa:196883,50
hsa:113,49
hsa:3708,49
hsa:4792,49
hsa:3710,49
hsa:595,48
hsa:1956,48
hsa:2776,48
hsa:6655,48
hsa:6654,48
hsa:2932,46
hsa:3709,45
hsa:2353,45
hsa:5335,45
hsa:673,44
hsa:836,44
hsa:3553,44
hsa:163688,43
hsa:91860,43
hsa:51806,43
hsa:596,43
hsa:572,43
hsa:810,43
hsa:801,43
hsa:808,43
hsa:805,43
hsa:6714,42
hsa:1385,42
hsa:2770,41
hsa:1026,41
hsa:2773,41
hsa:387,41
hsa:2771,41
hsa:5336,40
hsa:468,40
hsa:841,36
hsa:369,36
hsa:148327,35
hsa:776,35
hsa:842,35
hsa:84699,35
hsa:90993,35
hsa:7132,35
hsa:10488,35
hsa:64764,35
hsa:775,34
hsa:4609,34
hsa:7040,34
hsa:54205,34
hsa:9586,34
hsa:815,33
hsa:5530,33
hsa:817,33
hsa:818,33
hsa:5533,33
hsa:3576,33
hsa:816,33
hsa:578,33
hsa:5532,33
hsa:3458,32
hsa:5535,32
hsa:5534,32
hsa:6774,32
hsa:7186,32
hsa:355,32
hsa:7189,32
hsa:1499,31
hsa:1950,31
hsa:7042,31
hsa:3479,31
hsa:7099,31
hsa:6199,31
hsa:356,31
hsa:6198,31
hsa:998,31
hsa:60,30
hsa:102723407,30
hsa:71,30
hsa:3630,30
hsa:6885,29
hsa:6772,29
hsa:3480,29
hsa:5880,29
hsa:598,28
hsa:3456,28
hsa:7043,28
hsa:5728,28
hsa:1019,28
hsa:3716,27
hsa:8772,27
hsa:779,27
hsa:778,27
hsa:1386,27
hsa:2033,26
hsa:1869,26
hsa:1387,26
hsa:4615,26
hsa:5170,26
hsa:5609,25
hsa:3451,25
hsa:3443,25
hsa:3448,25
hsa:3447,25
hsa:3441,25
hsa:3446,25
hsa:3442,25
hsa:3452,25
hsa:3445,25
hsa:3449,25
hsa:3688,25
hsa:3440,25
hsa:29110,25
hsa:1388,25
hsa:3593,25
hsa:3592,25
hsa:4193,25
hsa:3444,25
hsa:3439,25
hsa:5925,25
hsa:3108,24
hsa:3109,24
hsa:3111,24
hsa:3112,24
hsa:3122,24
hsa:3115,24
hsa:3117,24
hsa:5608,24
hsa:3127,24
hsa:3118,24
hsa:3717,24
hsa:3126,24
hsa:3123,24
hsa:7422,24
hsa:3119,24
hsa:3113,24
hsa:3125,24
hsa:637,24
hsa:5881,24
hsa:8717,24
hsa:5747,24
hsa:7097,23
hsa:255189,23
hsa:100137049,23
hsa:1021,23
hsa:7046,23
hsa:1870,23
hsa:123745,23
hsa:1871,23
hsa:1647,23
hsa:4616,23
hsa:283748,23
hsa:8681,23
hsa:5321,23
hsa:7048,23
hsa:8605,23
hsa:4772,23
hsa:4233,23
hsa:10912,23
hsa:6464,22
hsa:25759,22
hsa:5501,22
hsa:3643,22
hsa:2064,22
hsa:399694,22
hsa:5743,22
hsa:3586,22
hsa:5499,22
hsa:51135,22
hsa:5500,22
hsa:4088,22
hsa:3552,21
hsa:317,21
hsa:5606,21
hsa:9475,21
hsa:3661,21
hsa:4773,21
hsa:6932,21
hsa:53358,21
hsa:23118,21
hsa:5155,20
hsa:1643,20
hsa:5156,20
hsa:3654,20
hsa:7187,20
hsa:2782,20
hsa:4217,20
hsa:3667,20
hsa:6093,20
hsa:83439,20
hsa:3558,20
hsa:4087,20
hsa:6416,20
hsa:6934,20
hsa:3690,20
hsa:51764,20
hsa:5563,20
hsa:5562,20
hsa:55970,20
hsa:7416,19
hsa:2784,19
hsa:2775,19
hsa:1399,19
hsa:7419,19
hsa:3107,19
hsa:2788,19
hsa:3106,19
hsa:2792,19
hsa:5154,19
hsa:3105,19
hsa:1398,19
hsa:5159,19
hsa:894,19
hsa:1017,19
hsa:1027,19
hsa:2767,19
hsa:3689,19
hsa:5058,19
hsa:2904,19
hsa:4775,19
hsa:2903,19
hsa:3135,19
hsa:4846,19
hsa:3133,19
hsa:4793,19
hsa:4843,19
hsa:51176,19
hsa:5781,18
hsa:3454,18
hsa:23439,18
hsa:480,18
hsa:10681,18
hsa:1029,18
hsa:481,18
hsa:2786,18
hsa:2793,18
hsa:482,18
hsa:2787,18
hsa:2791,18
hsa:478,18
hsa:483,18
hsa:2790,18
hsa:9641,18
hsa:4089,18
hsa:2783,18
hsa:94235,18
hsa:2902,18
hsa:2785,18
hsa:477,18
hsa:3459,18
hsa:54331,18
hsa:3134,18
hsa:6777,18
hsa:10454,18
hsa:59345,18
hsa:476,18
hsa:9134,17
hsa:6256,17
hsa:51426,17
hsa:5580,17
hsa:54361,17
hsa:7976,17
hsa:3383,17
hsa:6850,17
hsa:3678,17
hsa:958,17
hsa:3460,17
hsa:6776,17
hsa:718,17
hsa:3455,17
hsa:6347,17
hsa:898,17
hsa:7417,17
hsa:5337,16
hsa:3606,16
hsa:5338,16
hsa:5515,16
hsa:89780,16
hsa:5565,16
